#separator:tab
#html:true
#notetype:Basic
#deck:粤语学习
#columns:Front	Back	Tags
将	<b>粤拼：</b>zoeng1<br><b>组词：</b><br><ruby>将<rt>zoeng1</rt></ruby><ruby>来<rt>loi4</rt></ruby> <span style="color:#666">（將來）</span><br><ruby>将<rt>zoeng1</rt></ruby><ruby>军<rt>gwan1</rt></ruby> <span style="color:#666">（將軍）</span>	粤语::文字 粤语::分类::A._常见字：声母差异明显（普通话_j/q/x_等）
进	<b>粤拼：</b>zeon3<br><b>组词：</b><br><ruby>进<rt>zeon3</rt></ruby><ruby>步<rt>bou6</rt></ruby> <span style="color:#666">（進步）</span><br><ruby>进<rt>zeon3</rt></ruby><ruby>入<rt>jap6</rt></ruby> <span style="color:#666">（進入）</span>	粤语::文字 粤语::分类::A._常见字：声母差异明显（普通话_j/q/x_等）
酒	<b>粤拼：</b>zau2<br><b>组词：</b><br><ruby>饮<rt>jam2</rt></ruby><ruby>酒<rt>zau2</rt></ruby> <span style="color:#666">（喝酒）</span><br><ruby>红<rt>hung4</rt></ruby><ruby>酒<rt>zau2</rt></ruby> <span style="color:#666">（紅酒）</span>	粤语::文字 粤语::分类::A._常见字：声母差异明显（普通话_j/q/x_等）
早	<b>粤拼：</b>zou2<br><b>组词：</b><br><ruby>早<rt>zou2</rt></ruby><ruby>晨<rt>san4</rt></ruby> <span style="color:#666">（早晨）</span><br><ruby>早<rt>zou2</rt></ruby><ruby>啲<rt>di1</rt></ruby> <span style="color:#666">（早一點）</span>	粤语::文字 粤语::分类::A._常见字：声母差异明显（普通话_j/q/x_等）
走	<b>粤拼：</b>zau2<br><b>组词：</b><br><ruby>行<rt>hang4</rt></ruby><ruby>走<rt>zau2</rt></ruby> <span style="color:#666">（行走）</span><br><ruby>走<rt>zau2</rt></ruby><ruby>先<rt>sin1</rt></ruby> <span style="color:#666">（先走）</span><br><ruby>远<rt>jyun5</rt></ruby><ruby>走<rt>zau2</rt></ruby> <span style="color:#666">（遠走）</span><br><ruby>带<rt>daai3</rt></ruby><ruby>走<rt>zau2</rt></ruby> <span style="color:#666">（帶走）</span>	粤语::文字 粤语::分类::A._常见字：声母差异明显（普通话_j/q/x_等） 粤语::分类::I._粤语歌高频抒情字与书面歌词字
最	<b>粤拼：</b>zeoi3<br><b>组词：</b><br><ruby>最<rt>zeoi3</rt></ruby><ruby>好<rt>hou2</rt></ruby> <span style="color:#666">（最好）</span><br><ruby>最<rt>zeoi3</rt></ruby><ruby>近<rt>gan6</rt></ruby> <span style="color:#666">（最近）</span>	粤语::文字 粤语::分类::A._常见字：声母差异明显（普通话_j/q/x_等）
张	<b>粤拼：</b>zoeng1<br><b>组词：</b><br><ruby>张<rt>zoeng1</rt></ruby><ruby>开<rt>hoi1</rt></ruby> <span style="color:#666">（張開）</span><br><ruby>一<rt>jat1</rt></ruby><ruby>张<rt>zoeng1</rt></ruby><ruby>纸<rt>zi2</rt></ruby> <span style="color:#666">（一張紙）</span>	粤语::文字 粤语::分类::A._常见字：声母差异明显（普通话_j/q/x_等）
长	<b>粤拼：</b>coeng4 / coeng4 / zoeng2<br><b>组词：</b><br><ruby>长<rt>coeng4</rt></ruby><ruby>城<rt>sing4</rt></ruby> <span style="color:#666">（長城）</span><br><ruby>长<rt>coeng4</rt></ruby><ruby>时<rt>si4</rt></ruby><ruby>间<rt>gaan1</rt></ruby> <span style="color:#666">（長時間）</span><br><ruby>长<rt>zoeng2</rt></ruby><ruby>大<rt>daai6</rt></ruby> <span style="color:#666">（長大）</span>	粤语::文字 粤语::分类::A._常见字：声母差异明显（普通话_j/q/x_等） 粤语::分类::G._一字多音：必须按词语判断
唱	<b>粤拼：</b>coeng3<br><b>组词：</b><br><ruby>唱<rt>coeng3</rt></ruby><ruby>歌<rt>go1</rt></ruby> <span style="color:#666">（唱歌）</span><br><ruby>合<rt>hap6</rt></ruby><ruby>唱<rt>coeng3</rt></ruby> <span style="color:#666">（合唱）</span>	粤语::文字 粤语::分类::A._常见字：声母差异明显（普通话_j/q/x_等）
场	<b>粤拼：</b>coeng4<br><b>组词：</b><br><ruby>商<rt>soeng1</rt></ruby><ruby>场<rt>coeng4</rt></ruby> <span style="color:#666">（商場）</span><br><ruby>现<rt>jin6</rt></ruby><ruby>场<rt>coeng4</rt></ruby> <span style="color:#666">（現場）</span>	粤语::文字 粤语::分类::A._常见字：声母差异明显（普通话_j/q/x_等）
