#separator:tab
#html:true
#columns:普通话	粤语和英语
畅销书经常都没有货！	畅(cêng³)销(xiu¹)书(xü¹)成(sêng⁴)日(yed)都(dou¹)冇(mou⁵)货(fo³)！<br>Best-selling books are often out of stock!
这本书经常卖断货的！	呢(néi¹)本(bun²)书(xü¹)成(sêng⁴)日(yed)卖(mai⁶)断(tün⁵)市(xi⁵)嘎(ga³)！<br>This book is always selling out!
你先听我说完吧！	你(néi⁵)听(téng)我(ngo⁵)讲(gong²)埋(mai⁴)先(xin)啦(la¹)！<br>Just hear me out first!
还是结了婚的女人知道勤俭节约！	都(dou¹)系(hei⁶)结(jid³)咗(zo²)婚(fen¹)嘅(ge³)女(nêu³)人(yen²)知(ji¹)悭(han¹)识(xig)俭(gim⁶)！<br>Married women really do know how to be thrifty!
香港娱乐圈一向都是这样的！	香(hêng¹)港(gong²)娱(yü⁴)乐(log⁶)圈(hün¹)不(bed¹)嬲(neo¹)都(dou¹)系(hei⁶)咁(gem²)嘅(ge³)啦(la¹)！<br>That&#x27;s just how the Hong Kong entertainment industry has always been!
你有没有看过《蔡康永的说话之道》啊？	你(néi⁵)有(yeo⁵)冇(mou⁵)睇(tei²)过(guo³)《蔡(coi³)康(hong¹)永(wing⁵)嘅(ge³)说(xüd³)话(wa⁶)之(ji¹)道(dou⁶)》啊(a³)？<br>Have you read The Art of Speaking by Kevin Tsai?
你又怎么知道她不会睁一只眼闭一只眼呢？	你(néi⁵)又(yeo⁶)点(dim²)知(ji¹)佢(kêu⁵)唔(m⁴)会(wui⁵)只(zé³)眼(ngan⁵)开(hoi¹)只(zé³)眼(ngan⁵)闭(bei³)咧(lé¹)？<br>How do you know she won&#x27;t just turn a blind eye to it?
现在的人真的挺没有公德心的！	宜(yi⁴)家(ga¹)啲(di¹)人(yen⁴)真(zen¹)系(hei⁶)几(géi²)冇(mou⁵)公(gung¹)德(deg¹)心(sem¹)咯(lo¹)！<br>People these days really don&#x27;t seem to have much civic awareness!
真希望他们叫那帮居民自己下去清理！	鬼(guei²)唔(m⁴)望(mong⁶)佢(kêu⁵)哋(déi⁶)叫(giu³)返(fan¹)班(ban¹)居(gêu¹)民(men⁴)自(ji⁶)己(géi²)落(log⁶)去(hu³)清(qing¹)！<br>I really hope they make those residents go down there and clean it up themselves!
这里有一篇东西很好笑，要不要我念给你听？	呢(néi¹)度(dou⁶)有(yeo⁵)篇(pin¹)嘢(yé⁵)好(hou²)搞(gao²)笑(xiu³)，使(sei²)唔(m⁴)使(sei²)我(ngo⁵)读(dug⁶)俾(béi²)你(néi⁵)听(téng¹)？<br>There&#x27;s a really funny piece here. Shall I read it to you?
薇姐，你有没有看过《蔡康永的说话之道》啊？	薇(méi⁵)姐(zé²)，你(néi⁵)有(yeo⁵)冇(mou⁵)睇(tei²)过(guo³)《蔡(coi³)康(hong¹)永(wing⁵)嘅(ge³)说(xüd³)话(wa⁶)之(ji¹)道(dou⁶)》啊(a³)？<br>Wei, have you read The Art of Speaking by Kevin Tsai?
我知道这本书很出名，经常卖断货的！但是一直没有时间看哦！	我(ngo⁵)知(ji¹)道(dou⁶)呢(néi¹)本(bun²)书(xü¹)好(hou²)出(cêd¹)名(méng²)，成(sêng⁴)日(yed)卖(mai⁶)断(tün⁵)市(xi⁵)嘎(ga³)！但(dan⁶)系(hei⁶)一(yed¹)直(jig⁶)冇(mou⁵)时(xi⁴)间(gan¹)睇(tei²)咯(lo¹)！<br>I know this book is really popular and always sells out, but I just haven&#x27;t had time to read it!
我也是听人说觉得好，说蔡康永讲了很多平时大家都会遇到但是不注意的情况。	我(ngo⁵)都(dou¹)系(hei⁶)听(téng¹)人(yen⁴)讲(gong²)觉(gog³)得(deg¹)好(hou²)，话(wa⁶)蔡(coi³)康(hong¹)永(wing⁵)讲(gong²)咗(zo²)好(hou²)多(do¹)平(ping⁴)时(xi⁴)大(dai⁶)家(ga¹)都(dou¹)会(wui⁵)遇(yü⁶)到(dou³)但(dan⁶)系(hei⁶)唔(m⁴)注(jü³)意(yi³)嘅(ge³)情(qing⁴)况(fong³)。<br>I&#x27;ve heard it&#x27;s good too. Apparently, Kevin Tsai talks about lots of situations we come across in everyday life but often overlook.
